ln_output1802_all,hugue_1700_pc,poploss_keyser,ln_workers1802_all,ln_looms1802_all,mi_ln_input1802_all,no_looms,ln_popcity1802,vieh1816_schaf_ganz_veredelt_pc,pop1816_prot_pc,no_hugue_possible,imputed_dummy,textil_1680_dummy
7.313220501,0,NA,2.833213329,2.140066147,6.309918404,0,7.642524242,0.010891205,0.09867578,1,0,0
7.937374592,0,NA,2.302585125,2.351375341,7.714231014,0,6.947937012,0.010891205,0.206926405,1,0,0
10.30895233,0,NA,4.025351524,3.540959358,9.998797417,0,6.947937012,0.010891205,0.206926405,1,0,0
8.831711769,0,NA,4.094344616,-0.693147182,8.365206718,1,7.540090084,0.041158408,0.101798855,1,0,0
8.633018494,0,NA,2.833213329,2.140066147,8.411832809,0,6.489204884,0.041158408,0.234009355,1,0,0
9.907230377,0,NA,3.828641415,3.19867301,9.214033127,0,7.20340538,0.034866489,0.128445432,1,0,0
7.783224106,0,NA,3.178053856,3.19867301,6.684611797,0,7.20340538,0.034866489,0.128445432,1,0,0
8.416931152,0,NA,2.484906673,2.525728703,7.625595093,0,6.860663891,0.034866489,0.344924808,1,0,0
8.137395859,0,NA,3.367295742,3.384390354,6.866933346,0,6.436150551,0.034866489,0.202816904,1,0,0
9.442721367,0,NA,4.488636494,4.494238853,9.239899635,0,7.684783936,0.086691089,0.618401945,1,0,0
10.04381466,0,NA,4.969813347,4.283586502,9.644975662,0,7.684783936,0.086691089,0.618401945,1,0,0
7.851661205,0,NA,3.970291853,3.97968173,7.563719749,0,7.163946629,0.086691089,0.124585815,1,0,0
8.496990204,0,NA,3.135494232,3.34990406,8.131530762,0,6.672032833,0.086691089,0.126715943,1,0,0
8.113426208,0,NA,3.178053856,3.19867301,7.707961559,0,7.910223484,0.111902453,0.141120866,1,0,0
7.315883636,0,NA,1.791759491,1.252762914,6.910750866,0,7.910223484,0.111902453,0.141120866,1,0,0
8.039156914,0,NA,2.708050251,2.140066147,7.673223019,0,7.462214947,0.111902453,0.207416713,1,0,0
7.901007175,0,NA,2.639057398,2.44234705,7.408530712,0,7.462214947,0.111902453,0.207416713,1,0,0
8.011686325,0,NA,2.708050251,1.504077435,6.84375,0,6.109247684,0.111902453,0.941373527,1,0,0
7.352441311,0,NA,2.484906673,0.91629076,6.413458824,0,9.679843903,0.111884713,0.192916632,1,0,0
